swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
0.9996,1.0000,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
1.0019,0.6667,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
0.9989,1.0000,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
1.0000,1.0000,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
0.9978,1.0000,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
1.0001,1.0000,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
0.9997,1.0000,723.2524,723.2524,95.611,95.611,-1.07, 0.00, 0.00,-1.07
1.0022,1.0000,723.2524,722.0704,95.611,96.492,-1.42, 0.66,-0.52,-0.75
0.9994,1.0000,722.0704,720.2493,96.492,98.111,-1.96, 1.23,-0.59,-0.73
1.0020,1.0000,720.2493,717.9938,98.111,100.208,-2.20, 1.63,-0.63,-0.57
0.9959,1.0000,717.9938,715.8090,100.208,102.143,-2.34, 1.53,-0.66,-0.81
1.0018,1.0000,715.8090,713.0258,102.143,104.691,-2.81, 2.06,-0.72,-0.75
0.9997,1.0000,713.0258,710.5243,104.691,106.846,-2.39, 1.78,-0.72,-0.61
1.0036,1.0000,710.5243,708.4784,106.846,108.349,-1.91, 1.27,-0.78,-0.65
0.9971,1.0000,708.4784,706.6844,108.349,109.553,-1.82, 1.03,-0.77,-0.79
1.0001,1.0000,706.6844,704.9000,109.553,110.683,-1.74, 0.98,-0.81,-0.77
0.9988,1.0000,704.9000,703.2428,110.683,111.499,-1.63, 0.71,-0.95,-0.92
1.0022,1.0000,703.2428,701.7064,111.499,112.273,-1.50, 0.68,-0.86,-0.82
0.9998,1.0000,701.7064,700.3437,112.273,112.942,-1.30, 0.59,-0.77,-0.72
1.0019,1.0000,700.3437,699.2379,112.942,113.148,-1.03, 0.18,-0.92,-0.85
0.9973,1.0000,699.2379,698.3977,113.148,113.087,-0.79,-0.05,-0.90,-0.84
0.9980,1.0000,698.3977,697.7109,113.087,112.950,-0.69,-0.12,-0.81,-0.81
1.0033,1.0000,697.7109,696.8318,112.950,113.020,-1.00, 0.06,-0.81,-0.94
0.9974,1.0000,696.8318,695.4333,113.020,113.754,-1.55, 0.65,-0.75,-0.89
1.0004,1.0000,695.4333,693.4775,113.754,114.971,-2.08, 1.09,-0.87,-0.99
0.9986,1.0000,693.4775,691.1827,114.971,116.546,-2.32, 1.43,-0.87,-0.89
1.0041,1.0000,691.1827,688.8685,116.546,118.302,-2.30, 1.62,-0.70,-0.68
0.9989,1.0000,688.8685,686.6450,118.302,119.610,-2.20, 1.22,-1.01,-0.98
0.9994,1.0000,686.6450,684.4564,119.610,120.381,-2.21, 0.72,-1.47,-1.49
1.0017,1.0000,684.4564,682.0169,120.381,121.786,-2.54, 1.33,-1.10,-1.20
0.9962,1.0000,682.0169,679.2116,121.786,123.401,-2.92, 1.55,-1.26,-1.37
